00:00:00,0.19,10.94,13.2,LENSS_TSL_0010
00:01:00,0.19,11.00,13.1,LENSS_TSL_0010
00:02:00,0.19,10.72,13.1,LENSS_TSL_0010
00:03:00,0.19,10.72,13.1,LENSS_TSL_0010
00:04:01,0.19,10.83,13.1,LENSS_TSL_0010
00:05:01,0.19,10.83,13.1,LENSS_TSL_0010
00:06:01,0.19,10.83,13.1,LENSS_TSL_0010
00:08:01,0.19,10.89,13.1,LENSS_TSL_0010
00:09:01,0.19,10.94,13.0,LENSS_TSL_0010
00:10:01,0.19,10.94,13.0,LENSS_TSL_0010
00:11:00,0.19,10.82,12.9,LENSS_TSL_0010
00:12:00,0.19,10.78,12.9,LENSS_TSL_0010
00:13:00,0.19,10.78,12.9,LENSS_TSL_0010
00:14:00,0.19,10.72,12.9,LENSS_TSL_0010
00:15:01,0.19,10.72,12.8,LENSS_TSL_0010
00:16:01,0.19,10.67,12.8,LENSS_TSL_0010
00:17:01,0.19,10.56,12.8,LENSS_TSL_0010
00:19:01,0.19,10.69,12.8,LENSS_TSL_0010
00:20:01,0.19,10.61,12.7,LENSS_TSL_0010
00:21:01,0.19,10.72,12.7,LENSS_TSL_0010
00:22:00,0.19,10.65,12.7,LENSS_TSL_0010
00:23:00,0.19,10.89,12.7,LENSS_TSL_0010
00:24:00,0.19,10.83,12.6,LENSS_TSL_0010
00:25:00,0.19,10.56,12.6,LENSS_TSL_0010
00:26:01,0.19,10.61,12.6,LENSS_TSL_0010
00:27:01,0.19,10.67,12.6,LENSS_TSL_0010
00:28:01,0.19,10.72,12.6,LENSS_TSL_0010
00:29:01,0.19,10.67,12.6,LENSS_TSL_0010
00:30:00,0.19,10.59,12.5,LENSS_TSL_0010
00:31:00,0.19,10.50,12.5,LENSS_TSL_0010
00:32:00,0.19,10.78,12.5,LENSS_TSL_0010
00:33:01,0.19,10.89,12.5,LENSS_TSL_0010
00:34:01,0.19,10.78,12.5,LENSS_TSL_0010
00:35:01,0.19,10.72,12.5,LENSS_TSL_0010
00:36:01,0.19,10.72,12.5,LENSS_TSL_0010
00:37:00,0.19,10.76,12.5,LENSS_TSL_0010
00:38:00,0.19,10.61,12.5,LENSS_TSL_0010
00:39:00,0.19,10.78,12.5,LENSS_TSL_0010
00:40:00,0.19,10.89,12.5,LENSS_TSL_0010
00:41:01,0.19,10.78,12.5,LENSS_TSL_0010
00:42:01,0.19,10.78,12.5,LENSS_TSL_0010
00:43:01,0.19,10.72,12.5,LENSS_TSL_0010
00:45:01,0.19,10.80,12.5,LENSS_TSL_0010
00:46:01,0.19,10.89,12.5,LENSS_TSL_0010
